POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
340-00648,-,0,Grey,SS,Y,N,SFMTA,ON,0,64,BLUXOME ST,2993000,Area 5,South Embarcadero,"(37.7764287022, -122.3975000993)"
340-00541,-,0,Grey,SS,Y,N,SFMTA,ON,0,54,BLUXOME ST,2993000,Area 5,South Embarcadero,"(37.7767087025, -122.3971431979)"
423-01740,423-01008,74,Grey,MS,Y,N,SFMTA,ON,0,174,FULTON ST,5881000,Area 5,Civic Center,"(37.7797553007, -122.4165164025)"
446-00120,-,0,Grey,SS,Y,N,SFMTA,ON,0,12,GROVE ST,6552000,Area 5,Civic Center,"(37.7788584986, -122.4153822024)"
472-00450,-,0,Yellow,SS,N,N,SFMTA,ON,0,45,HYDE ST,7113000,Area 5,Civic Center,"(37.7804497023, -122.4153446012)"
500-08100,-,0,Yellow,SS,N,N,SFMTA,ON,0,810,JACKSON ST,7379000,Area 3,,"(37.7958125015, -122.4086767023)"
616-12030,-,0,Grey,SS,N,N,SFMTA,ON,0,1203,POWELL ST,10689000,Area 3,,"(37.7957160984, -122.4100059995)"
606-16380,-,0,Grey,SS,N,N,SFMTA,ON,0,1638,PINE ST,10478000,Area 3,,"(37.7893106983, -122.4234681015)"
612-01040,-,0,Grey,SS,Y,N,SFMTA,ON,0,104,POLK ST,10547000,Area 5,Civic Center,"(37.7776768011, -122.4179969986)"
701-00230,701-00001,23,Grey,MS,Y,N,SFMTA,ON,0,23,VAN NESS AVE,13143103,Area 5,Civic Center,"(37.7760212020, -122.4195940976)"
664-09050,-,0,Grey,SS,N,N,SFMTA,ON,0,905,STOCKTON ST,12205000,Area 2,,"(37.7941767004, -122.4080123973)"
207-02060,-,0,Grey,SS,N,N,SFMTA,ON,0,206,07TH ST,371000,Area 2,,"(37.7777536017, -122.4092543998)"
207-02120,-,0,Grey,SS,N,N,SFMTA,ON,0,212,07TH ST,371000,Area 2,,"(37.7776254983, -122.4090938025)"
701-14110,-,0,Yellow,SS,N,N,SFMTA,ON,0,1411,VAN NESS AVE,13156101,Area 3,,"(37.7888326001, -122.4221809988)"
724-00510,-,0,Yellow,SS,N,N,SFMTA,ON,0,51,WILLOW ST,13662000,Area 3,,"(37.7835657027, -122.4190749002)"
470-05390,-,0,Grey,SS,Y,N,SFMTA,ON,0,539,HOWARD ST,7033000,Area 5,Downtown,"(37.7877289996, -122.3968946018)"
606-05170,-,0,Yellow,SS,N,N,SFMTA,ON,0,517,PINE ST,10463000,Area 5,Downtown,"(37.7915409998, -122.4048934017)"
606-05280,-,0,Grey,SS,N,N,SFMTA,ON,0,528,PINE ST,10463000,Area 5,Downtown,"(37.7916194991, -122.4052483977)"
606-05410,-,0,Grey,SS,N,N,SFMTA,ON,0,541,PINE ST,10464000,Area 5,Downtown,"(37.7914477986, -122.4056222026)"
324-01270,-,0,Yellow,SS,N,N,SFMTA,ON,0,127,BATTERY ST,2753000,Area 5,Downtown,"(37.7929825027, -122.3999937993)"
203-01040,-,0,Grey,SS,N,N,SFMTA,ON,0,104,03RD ST,166000,Area 5,Downtown,"(37.7860386995, -122.4019254983)"
651-00310,-,0,Yellow,SS,N,N,SFMTA,ON,0,31,SANSOME ST,11542000,Area 5,Downtown,"(37.7909647998, -122.4007818994)"
651-01100,-,0,Yellow,SS,N,N,SFMTA,ON,0,110,SANSOME ST,11543000,Area 5,Downtown,"(37.7915282984, -122.4007392020)"
418-04190,-,0,Grey,SS,N,N,SFMTA,ON,0,419,FOLSOM ST,5656000,Area 5,South Embarcadero,"(37.7875684024, -122.3939840977)"
418-04200,-,0,Grey,SS,N,N,SFMTA,ON,0,420,FOLSOM ST,5656000,Area 5,South Embarcadero,"(37.7876155981, -122.3942310006)"
359-01100,-,0,Grey,SS,Y,N,SFMTA,ON,0,110,CLAY ST,4080000,Area 5,Downtown,"(37.7954509006, -122.3972530008)"
328-02070,-,0,Grey,SS,N,N,SFMTA,ON,0,207,BEALE ST,2865000,Area 5,Downtown,"(37.7897418019, -122.3938955010)"
670-01244,670-01240,4,Grey,MS,N,N,SFMTA,ON,0,126,STILLMAN ST,12192000,Area 5,South Embarcadero,"(37.7813509022, -122.3969329015)"
666-13250,-,0,Grey,SS,N,N,SFMTA,ON,0,1325,SUTTER ST,12331000,Area 3,,"(37.7873499726, -122.4228285266)"
614-12150,-,0,Grey,SS,N,N,SFMTA,ON,0,1215,POST ST,10641000,Area 3,,"(37.7864474056, -122.4223124161)"
614-08050,-,0,Grey,SS,N,N,SFMTA,ON,0,805,POST ST,10636000,Area 3,,"(37.7873516017, -122.4152665992)"
614-13170,-,0,Grey,SS,N,N,SFMTA,ON,0,1317,POST ST,10642000,Area 3,,"(37.7862539020, -122.4238582009)"
